komentar,sentiment
mudah paham perhati,positif
bagus sampai simple praktis mudah paham,positif
metode ajar efektif sampai materi mahasiswa,positif
dapat saya metode hrm mahasiswa nyaman ajar bawa beliau friendly topik ajar guna dunia kerja mahasiswa tarik ikut kuliah beliau,positif
suka metode ajar teori praktikum cepat mahasiswa paham paksa materi,negatif
metode ajar mudah ikut senang bosan,positif
metode seprti absen dll,positif
bagus disiplin semangat jalan kuliah,positif
suka enak dengar suka praktikum sepele adik kelas,positif
bagus mudah fahami mahasiswa basics prodi matkul prodi ti sendiri,positif
suka interaktif kadang diskusi quiz juga beda aja matkul,positif
terima runtut mudah d ajar,positif
puas puas materi,positif
baguss sebenernya telaah bener bener ajar,positif
metode bagus sesi penting tugas mahasiswa malas,positif
suka metode ajar bawa kes santai,positif
baik proses ajar metode terap ajar senang,positif
metode ajar praktis santai mudah ikut,positif
mana mahasiswa presentasi tuju mahasiswa pasif kelas,positif
seru asik santai mahasiswa tekan dosen nya uji langsung face to face ga bantai,positif
metode bagus gabung jelas dosen  diskusi presentasi,positif
senang pecah suasana canda kelas boring,positif
metode ajar mata kuliah sukup,positif
metode ajar kuliah,positif
dapat metode ajar kuliah muas terap dosen matakuliah lain,positif
metode relevan kembang zaman mudah paham,positif
metode bagus mahasiswa berekplorasi kait maateri,positif
metode yg efesien rinci jarang jelas langsung serta praktek,positif
puas,positif
metode pengajran kuliah,positif
dapat kuliah ajar modifikasi codingan,positif
kadang senang dosen gak masuk tugas nya,positif
suka metode ajar matakuliah bagus materi praktik perhati bapak,positif
metode ajar yg bagus sesuai scr materi kuliah terima mhs,positif
metode ajar bagus inovasi kuliah materi video youtube bagi kelompok atur,positif
baik kali tugas jadi lapor,positif
bagus teori contoh praktikum langsung,positif
metode ajar kuliah mudah meyerap paham sub bab nya,positif
metode ajar kuliah bagus mana teori saja praktik paham nateri sebut,positif
saya dosen jelas detail perinci mahasiswa paham,negatif
metode ajar kuliah susah tugas dosen teman kelompok,positif
metode praktikum interaksi praktik dosen kurang,negatif
metode ajar kuliah bagus lumayan paham,positif
metode ajar simpel paham,positif
dapat metode ajar kuliah mudah paham,positif
metode kuliah utama praktikum bagus mahasiswa,positif
metode laku kuliah,positif
metode bagus ajak mahasiswa aktif pasif kelas,positif
metode bagus materi tugas tata jelas,positif
efektif materi paham tugas mahasiswa susah,negatif
puas pas sesuai hasil keluar semester,positif
baik arti mahasiswa ajar bosan,positif
metode ajar mahasiswa cari fundametal materi mahasiswa bingung cari materi,negatif
metode ajar kuliah efektif variasi lebih,positif
harap jelas langsung praktek projek,positif
metode kuliah sampai singkat ringkas mahasiswa pola materi ajar praktikum mata kuliah mahasiswa sulit teman jawat,negatif
isi materi dahulu tugas rumah  tutorial pengerjaanya,positif
metode muda paham kasih saran materi video mahasiswa putar ulang,positif
senang mudah mahasiswa tugas tutorial,positif
metode ajar praktis efisien mudah difahami mahasiswa mahasiswa sungguh ajar nya metode dosen mahasiswa beda beda gantung karakter mampu dosen metode ajar uin walisongo semarang tepat,positif
materi dalam materi mudah paham video ajar youtube contoh  walicode ulang ajar,positif
metode ajar muas papar materi praktek presentasi laksana kelas,positif
metode ajar bagus jelas mudah dipahamiakan singkat kuliah materi maksimal,positif
ajar efisien mahasiswa mana kasih teori langsung suruh praktek kembang mahasiswa,positif
efektif metode struktur mahasiswa ajar kbm ajar mandiri,positif
metode baik sampai materi ikut contoh aplikasi project,positif
metode kuliah interaktif senang materi mudah paham,positif
metode baik bisa paham walaupun kadang yg paham,positif
bagus tp terkadang materi cepat susah paham materi,positif
dosen nya rinci ditail,positif
mudah paham materi tugas hehe terkadang suka bingung langsung kasih tugas,positif
baik bagi kelompok perhati bagi rata potemsi mahasiswa timpang kelompok,positif
baik metode ajar tisak monoton bosan jelas materi,positif
metode baik buru buru paham sesuai materi,positif
bagus libat mahasiswa aktif mahasiswa berfikir kritis kuliah catat baik dosen ampu metode sampai materi salur ilmu tahu laksana maksimal,positif
metode ajar kuliah baik dosen materi dosen tugas kelompok,positif
metode ajar efektif  mudah cerna mahasiswa,positif
baik bagi kelompok mahasiswa kerjasama mikir karna materi sulit,positif
bsa terang detail langsung coba tempat,negatif
metode ajar singkat mudah paham tambah praktek langsung tambah paham,positif
bagus efisien bab cpmk latih,positif
bagus detail,positif
dosen alam ajar efektif,positif
metode ajar,positif
metode lumayan efektif,positif
lumayan,positif
metode ajar kuliah,positif
metode ppt praktik ajar teori praktik nya,positif
metode ajar saya ajar kelompok mudah paham,positif
metode nya fleksibel tuntut mahasiswa keras tugas,positif
ajar hrm pak hrm nilai,positif
metode ajar mudah cerna materi rinci detail,positif
lumayan efektif,positif
bagus materi tugas lanjut paham materi,positif
suka habis materi projek praktik langsung,positif
efektif kreatif kembang potensi mahasiswa rancang project,positif
sampai dosen interaktif materi ajar runtut mudah paham,positif
dosen dg,positif
baik metode ajar paham proses sampai materi,positif
lumayan baik internet tambah paham,positif
yah standar dosen powerpoint mahasiswa materi powerpoint,positif
metode ajar mudah erti,positif
metode efektif teori preaktek,positif
baik materi terima paham,positif
metode ajar yg sulit mahasiswa suka matkul ini teori teori,positif
metode ajar bagus,positif
metode ajar kuliah video youtube ulang ajar tonton youtube,positif
dapat metode ajar kuliah,positif
dapat metode ajar kuliah bagus modul contoh kode ajar kembang,positif
metode kerja kelompok dapat lebih tukar dapat ajar diskus,positif
saya metode ajar baik mudah terima mudah paham cepat masuk otak,positif
saya metode ajar ajar dosen ampu bagus professional dosen ampu hadir dosen ampu matkul asih tugas ganti waktu situ mahasiswa rugi ikut matkul,positif
implementasi materi contoh jadi materi mudah paham,positif
metode terpa proses ajar ajar senang sepaneng ratap mahasiswa kelas,positif
paham,positif
matkul dosen materi rinci mahasiswa bingung dosen buka sesi dosen muas mahasiswa paham matkul,positif
metode ajar enak asik kelas,positif
ajar teori praktikum,positif
metode ajar efisien teori ajar praktek,positif
baik dosen terang bahasa sederhana mahasiswa cerna ajar,positif
metode ajar kuliah,positif
bagus teori praktikum praktikum bantu paham materi,positif
metode kuliah kali dosen tugas beban mahasiswa,positif
dukung respon dosen staf akademik,positif
bantu arah jelas tugas,positif
dosen acung jempol mantap bahagia,positif
kait dukung dosen staf kait kuliah dukung,positif
dukung dosen baik banyak dosen pandang motivasi luas dorong mahasiswa baik cipta ikut kompetisi,positif
awesome dosen chat mahasiswa keren,positif
kuliah mata kuliah jaring komputer penting sebab hardware ajar software brainware,positif
dosen bantu ajar cantum materi e-learning ajar,positif
dosen arah mahasiswa nya maju,positif
asa kait dukung dosen staf akademik kait kuliah ya dukung kuliah mahasiswa teknologi informasi,positif
puas bp dosen bp asisten dosen materi mudah erti,positif
dukung dosen baik sempat dijwab jelas asdos kekuranagn mana pemberitahuan dadak,negatif
asa senang semangat kuliah tapi dukung langsung,positif
dukung dr mudah proses praktikum dn proses jelas materi mahasiswa nyaman ajar,positif
senang dukung dosen staf akademik kait kuliah,positif
dukung dosen staf akademik,positif
dukung dosen staf jelas materi paham banding presentasi,positif
puas dosen staf datang lambat lebih jam normal giat praktikum jaring komputer,negatif
materi aman aman paham pas praktikum tu kadang jelasin cepat mesti yg hah hoh gimana tanda tangan lapor nitip trus udah nitip suruh sendiri dadak bangett pliss udah mepet tanda tangan kasihan kos nya kampus,negatif
kait dukung staf alademik dosen,negatif
asa lumayan senang mata kuliah teori alat nya juga dosen staf fasilitas ada tunjang kuliah jalan baik  asdos asa sebal bijak beliau ttd asdos kelas,positif
puas dukung dosen asisten kuliah bantu,positif
dukung dosen staf akademik kait kuliah ,positif
dosen asisten beliau bantu materi struktur mudah paham,positif
senang semangat  rana langsung praktek,positif
senang kelas beban asa takut  gelisah,positif
dosen ajar bagus telat kadang cepat,negatif
alhamdulillah dukung dosen staf akademik bantu jalan kuliah,positif
dukung positif kuliah dosen star akademik,positif
dosen dam staf dukung positif ajar tuntut paham imbang ajar imbang harap materi teliti puas tugas kumpul,positif
mahasiswa dukung luar butuh tekan gerak,positif
so far so good nggak kait kuliah,positif
baik dosen staf bimbing sulit,positif
bimbing ajar dukung  kuliah bantu mahasiswa,positif
lumayan baik dosen bantu paham materi bagi asisten dosen susah hubung slow respon,negatif
asa bilang senang terkadang ga terlalu,positif
sulit beberapa tugas laprak langsung masuk komting pj matkul,positif
dukung dosen staf terkalit kuliah motivasi,positif
senang dosen materi jelas cuman terkadang materi bahas global khusunya terkadang udah jelasin materi kompleks cuman usul materi paham mana,positif
asa kait dukung dosen staf akademik kait kuliah dukung staf akademik,positif
asa bilang senang senang dosen masuk jelas materi detail tugas,positif
dukung ayom mahasiswa,positif
bagus tingkat depan kuliah,positif
asa hrm galak senang senang saja,positif
dosen staf akademik dukung kuliah sedia ruang alat bahan praktikum sedia jasa fungsi alat,positif
asa kait dukung dosen kuliah bilang,positif
lumayan baik cukup paham dukung bentuk apa jalan,positif
bagus dosen terang bahasa mudah paham mudah cerna,positif
dosen staf akademik bantu,positif
segi sampai materi respon mahasiswa tanya dsb,positif
dukung dr dosen staf akademik kait kuliah motivasi semangat jalan kuliah,positif
mantap dosen kuliah ketimbang masuk kuliah efektif kendali,positif
dukung dosen mahasiswa dukung mahasiswa nya,positif
dukung lumayan dukung praktikum,negatif
baik mahasiswa dosen staff akademik,positif
dukung dosen staf akademik bantu mahasiswa kuliah,positif
dukung dosen aslab dukung kuliah,positif
dukung dosen staf akademik lumayan tingkat,positif
dosen staf akademik dukung kuliah fasilitas metode ajar,positif
dosen staf dukung giat kuliah,positif
muas orang ajar matkul mudah paham,positif
normal normal ajar nekoneko to the point,positif
senang karena dosen staf sifat senang,positif
asa dukung dosen kait kuliah kok ajar nya suka,positif
dosen enak ajar praktikum,negatif
saja ikut yg dosen perintah,positif
syukur milik dosen staf akademik dukung bantu kuliah,positif
saja karna apa dukung kalo semangat,positif
alhamdulilah lab kabi mohon layak  trimakasih,negatif
senang,positif
dukung,positif
bantu ketat kuliah serius senang praktik,positif
kurang asdos,negatif
asdos asleb nya jengkel hehe,negatif
kurang praktikum asdos masuk kena tanggal merah,negatif
asdos masuk,negatif
dukung dosen staf akademik pengaruh semangat ajar mahasiswa,positif
alhamdulillah,positif
lumayan tambah semangat,positif
senang karna sabar hadap mahasiswa yg belumnpaham tpi minus nomer 2,positif
rate 6 10 lbih staf akademik si ga kasi lab jarkom layak ya ac ya gimana ya,negatif
bimbing kurang teori praktikum,negatif
praktikum karna kali lambat hadir asdosnya,negatif
dukung dosen dukung,positif
,positif
nama nya mahasiswa harus nya dukung kampus wajib,positif
,positif
dukung dosen bagus milik tanggung ajar ajar paham materi beri staff sisi penting kuliah,positif
asa senang ajar mudah masuk materi,positif
dosen staf bimbing mahasiswa teori praktek mahasiswa latih kerjasama tim,positif
praktikum kali masuk mahasiswa tunggu lab,negatif
asisten dosen tanggung wajib,negatif
asdos  lambat,negatif
asa bohong terkadang kecewa,positif
dosenya enak staf akademik enak asli jasa cuman negatif,positif
nyaman dukung dosen staf,positif
cukup staf akademik ga ain lab bagus liat layar monitor dengak dengak bikin kepala lumayan sakit,negatif
terima,positif
bagus,positif
kurang karena emang dasar emang dijelasin cuman nyari referensi,negatif
suka dukung nya bantu proses ajar cipta suasana nyaman,positif
dukung saya dik materi kelas,positif
bagus dosen staf layan baik dosen ajar,positif
asa baik dosen paham susah mahasiswa dosen toleransi mahasiswa,positif
dukung dosen bilang papar materi sesuai rps bahas kuliah,positif
asa kait dukung dosen staf akademik kesan senang ikut kuliah,positif
dukung dosen baik point minus no 2,positif
sih dosen materi detail dosen suruh ppt masing2 mahasiswa,negatif
dukung dosen matakuliah bilang,positif
dukung dosen staf akademik kait kuliah oke,positif
dukung dosen ampu rasa temu ke-8 ini,positif
tersuport semangat jalan kuliah,positif
baca,positif
asa kait dukung dosen staf bantu proses kuliah,positif
puas,positif
dosen nyaman kuliah,negatif
asa senang dosen dukung motivasi mahasiswa,positif
dukung staf akademik dosen materi,negatif
kait dukung dosen  bagus mahasiswa,positif
dosen materi dg mhs materi yg ajar mandiri butuh usaha utk ajar,positif
dukung dosen dorong mahasiswa kerja ajar mata kuliah,positif
baik praktek lamgsung alat,positif
staf bantu,positif
prasaan kait dosen staf akademik kuliah nyaman,positif
dukung mana materi sesuai mesti dukung sarana prasarana pada,positif
dukung dosen paham mata kuliah ajar,positif
senang kuliah bantu guna,positif
biasa jam praktikum kuliah materi matakuliah butuh praktikum mahasiswa paham materi ,negatif
saya dukung dosen kait kuliah dukung staf dukung,positif
dukung dosen staf dukung,positif
senang dosen staf akademik dukung kuliah,positif
dosen dukung kait kuliah kurang jelas kode pemrograman,negatif
asa kait dukung dosen lumayan dukung,positif
dukung dosen giat ajar ajar selesai lancar,positif
dukung saran dosen bantu mahasiswa kembang,positif
baik dosen presensi kuliah,positif
dosen staff dukung kuliah sister,positif
saja kuliah,positif
dosen ajar,positif
puas dukung dosen staf akademik,positif
byasa,positif
saya evaluasi praktik mahasiswa dosen mahasiswa aktif sulit alami pecah kelas kurang,negatif
sampai materi mahasiswa berani,positif
dukung dosen baik jadwal ganti,positif
dukung staf akademik dian atk uts,positif
dosen dukung kuliah sini staf akademik ramah murah senyum,positif
dukung manfaat kuliah sistem pararel distribusi fasilitas ppt materi video ajar youtube dukung ajar kuliah,positif
puas kait jadwal kuliah laksana sore hari terkadang mata kuliah dadak batal serta kelas,negatif
temu kosong tinggal materi,negatif
dukung dosen efektif temu kali libur ajar materi mudah erti,negatif
kalo staf akademik dosen hrm komen kait mata kuliah sister,positif
senang tantang lulus sma background teknologi keras ajar paham materi materi,positif
dukung dosen kuliah rasa materi serta referensi,positif
asa senang dukung dosen staf akademik,positif
dosen dukung mahasiswa salur bakat kreativitas,positif
senang dosen jelas rinci ditail,positif
terkadang dosen kosong jadwal dadak mepet telah jam matkul,negatif
baik dosen dukung penuh ajar mahasiswa jam ajar luar jam ajar apa,positif
rasa dukung staf akademik,negatif
dukung dosen staf akademik prioritas kait kuliah butuh karna kesan mahasiswa,positif
kait dukung interaksi mahasiswa dosen bagus bicara kait dukung fasilitas infrastruktur sebab kuliah tergambat,negatif
asa kait dukung dosen kait kuliah saja asa senang saja,positif
dosen dukung mahasiswa paham mata kuliah tugas mandiri kelompok mahasiswa mempertanggungjawabkannya presentasi atupun asesmen,positif
senang dukung dukung dosen staf akademik jadi semangat inspirasi,positif
bagus baik mahasiswa bagus dukung,positif
dosen staf suport mudah paham langsung sigap salah,positif
senang beliau beliau mensupport ajar,positif
,positif
muas dosen seksama,positif
asa senang,positif
terkadang jarang hadir,negatif
senang,positif
dukung dosen staf akademik kait kuliah,positif
dosen ajar sangaat skill bidang nya materi mudah paham,positif
dukung,positif
motivasi semangat beban,positif
baik dosen perlahan insyaallah paham,positif
dosen dukung edukasi dasar krs beri materi,positif
dosen yg dukung matkul ini staff akademik,positif
dukung dosen staf akademik bagus,positif
terkadang bosan dosen trlalu bnyak materi contoh praktik,negatif
dosen staf prodi ti dukung,positif
mensupport mahasiswa contoh code,positif
sarana,positif
dukung fasilitas fasilitas,positif
baik sampai materi faham erti,positif
dukung dosen dukung dosen rajin berangkat waktu kadang ruang,positif
dukung dosen staf akademik baik sistem ajar jalan,positif
puas dosen laksana tugas ajar,positif
baik dosen mata kuliah dorong mahasiswa,positif
dosen staf akademik bantu mahasiswa jadi nyaman ikut kuliah,positif
bagus sesuai butuh mahasiswa,positif
asa kait dukung dosen staf akademi kait kuliah terima kasih tahu,positif
asa kait dukung dosen staf akademik kait kuliah,positif
asa kait dukung dosen staf akademik kait kuliah dosen dukung terang,positif
kait dukung dosen jelas arah kuliah masuk project kelompok,positif
asa saja dukung kuliah akademik salah wajib dosen staff,positif
baik karena masuk jajar,positif
mahasiswa temu masalah dosen bantu pecah solusi,positif
baik antusiasme perihal surat surat perijinan,positif
baik kurang dukung praktik robotika,positif
dukung dosen kuliah positif mahasiswa nyaman kuliah,positif
asa senang dukung dosen staf akademik,positif
batu susah,positif
baik konsultasi bimbing mahasiswa,positif
baik jalan peran profesi peran,positif
asa kait dukung dosen staf akademik kait kuliah bantu,positif
senang dosen terang jelas serta praktikum praktek teori materi dapat,positif
dukung dosen semangat kuliah kalo dosen dukung kuliah,positif
puas alat lengkap,positif
pada nyaman,positif
dukung kampus penuh butuh praktikum,positif
asa dukung sarana prasarana kait kuliah bangga,positif
prasarana yg sedia kuliah baik alat yg praktikum laptop proyektor tampil materi,positif
dukung sarana prasarana kait kuliah bagus sarana ajar praktikum,positif
sarana prasarana nya alat tempat alat lengkap tempat ruang kelas nyaman,positif
sarana prasarana pada praktek pc teman milik pc lumayan ganggu proses ajar,positif
sarana prasarana kuliah dukung lap,negatif
asa kait dukung sarana prasarana kait kuliah lengkap wadah praktikum,positif
puas praktikum fasilitas kampus mahasiswa ajar kerja guna beli alat,positif
sarana prasarana padah mana alat butuh praktikum sedia guna,positif
sarana prasarana alat praktikum pada ganti,negatif
puas fasilitas dukung kuliah waktu praktikum mahasiswa coba dn memhami,positif
senang dukung sarana prasarana kait kuliah,positif
kait sarana prasarana kuliah pada,positif
kait sarana prasarana metode ajar alat - alat m mamadai,positif
fasilitas kelas fasilitas giat praktikum pada,negatif
aman terkadang matkul praktikum butuh alat converter adapter susah nyarinya ngerti,negatif
lebih kurang sarana prasarana,negatif
no 5  ajar mata kuliah alat tunjang materi media mahasiswa paham sedia batas tempat kelas baik guna e-learning kumpul tugas efektif mahasiswa mudah akses e-learing,positif
kecewa alat bahan praktikum mahasiswa gilir coba,negatif
dukung sarana prasarana kait kuliah mahasiswa milik alat laptop praktek dosen asisten dosen nya perhati,positif
baik lumayan lengkap pada mahasiswa praktikum,positif
alhamdulillah,positif
bagus perangkat rusak tang potong tajam,positif
ajar teori yg gambar lasung alat praktek,positif
bantu sarana prasarana sedia alat praktikum jujur kali tahu,positif
pada modern sarana prasarana kuliah,positif
sarana prasarana praktikum normal dapat,positif
sarana prasarana kuliah kadang pada batas alat banding  banyak mahasiswa,negatif
sarana prasarana sih bagus ya sayang aja lantai 4 males naik siang siang,positif
kurang fasilitas alat praktikum kurang barang habis alat jaring lengkap,negatif
dukung fasilitas,negatif
sarana prasarana praktikum ganti praktikum butuh,negatif
dukung matkul bilang lumayan dukung teori praktek2nya jg mudah paham penjelesanya no complain tau univ banding,positif
pada praktikum lantai 4 sempit,negatif
dukung sarana prasarana golong kuliah jalan nyaman,positif
gorden kelas tutup kadang kena pantul cahaya jendela proyektor bikin sakit mata pusing kelas kotor alat bersih seperti sapu ekrak bersih kelas jdi nyaman wifi kampus ngelag lantai 4 ga dapet sinyal,negatif
asa kait dukung sarana prasarana kait kuliah bagus,positif
asa kait sarana prasarana kait kuliah,positif
lengkap terkadang alat yg tambah,negatif
yah sedia sarana prasarana,positif
asa kait dukung sarana prasarana kait kuliah bantu mahasiswa ajar bangku kuliah,positif
asa dorong ajar lengkap fasilitas staf akademik dukung,positif
asa kait dukung sarana prasana kuliah bilang,positif
batas praktek penuh moga depan tingkat,positif
baik sedia alat mahasiswa susah alat butuh jam praktikum,positif
sarana prasarana kuliah kelas nada bantu fokus minim distraksi,positif
baik alat tambah mahasiswa alam guna alat2,positif
sarana baik praktikum lab nyaman sinyal wifi masuk lab,negatif
sarana prasarana kuliah tangga ruang lantai 4  giat ajar ruang langsung terjun lapang,positif
sarana prasarana pada kelas lab praktikum kurang yg nyaman,negatif
sarana prasarana jaring komputer muas alat bahan habis lab,negatif
baik sarana prasarana pada tunjang giat ajar,negatif
sarana prasarana pada dukung hasil kuliah,positif
alat praktikum,negatif
dukung sarana prasarana praktikum pada giat praktikum,negatif
dukung sarana prasarana cukup,negatif
sarana karna sedia alat alat praktikum alat dukung giat kuliah,positif
sih alat batas praktikum kurang materi telat share,negatif
wifii jaring kelas beda kadamg lot kadang lancar kadang ganggu kelas,negatif
alat lengkap,positif
asa ya yah kuliah laku lantai 4 laksana siang hari lelah gitu,positif
praktikum,negatif
kait sarana prasarana kuliah lumayan padah,positif
umum sarana prasarana kampus pada dukung proses ajar ajar,positif
pada kelas praktikum kurang fasilitas,negatif
alhamdulilah cape rooftop trs klsnya ga meja kadang timbul ngantukan duduk bebas lantai,negatif
bagus terkadang jaring wifi trobel bagus,negatif
dukung  tools crimpingnya,negatif
baik sempit lantai 4 alat sedia mahasiswa bantu,positif
lab praktikum pindah mudah akses tangga biar lelah,negatif
mm lab praktikum pada karna ruangnnya leseh kondusif,negatif
sarpras dukung kuliah lengkap,positif
pada,positif
materi nya enak praktikum nya kaya bilang arah asdos mahasiswa guna sarana prasarana praktikum tempat nyaman ajar kondisi,negatif
alat pratikum yang,negatif
pada nyaman,negatif
senang keluar uang praktikum denda salah praktikum tpi minus nomer 2,positif
kayakk no 6 alat abuat prqktikum jg dikit jd ganti knp ga 1 org kasi 1 alat jd ga makan pas praktikum krna ganti,negatif
,positif
lab nya,negatif
sarana prasarana lengkap praktik rasa cukup,positif
,positif
pak kaya no 5,positif
baik sarana prasana pada kecuali lab praktikum,positif
bagus sarana prasana ajar,positif
sarana prasarana lengkap kurang alat praktikum beli pinjam,negatif
sarana prasarana kuliah mumpuni antri antri pakai fasilitas kuliah selesai mahasiswa selesai praktik,negatif
sarana prasarana  dukung kuliah,positif
alat praktikum banyak efektif giat praktikum a,negatif
sarana prasarana suruh beli converter lan,positif
lumayan kecewa asa sarana mahasiswa,negatif
sanagt senang dikarenakanbtida drnda salah alatnatau bahan praktik,positif
emmm yaaa tau sarana prasarana hehe,positif
kalo alat praktikum cukup poin 5 reng lab,positif
cukup praktikum alat2 printer dll,negatif
mumpuni,positif
cukup kadang wifi-nya gimana yaaa ya gitulah pokok,negatif
sarana prasarana pada siswa wajib ikut kuliah detail,positif
dukung prasarana andal laptop pribadi,positif
sarana prasarana pada bukti fasilitas mahasiswa kampus,positif
sarana prasarana pada ac proyektor kursi keras terang,positif
sarana prasarana  kendala kendala jaring kadang sulit mahasiswa ajar,positif
lumayan dukung temu kendala sarana prasarana,positif
sarana prasarana kuliah matkul paham matkul praktikum fasilitas kampus lab  oiya ruang 3 10 wifi nya lot,negatif
baik kondisi sarana prasarana,positif
dukung sarana prasarana matakuliah,positif
dukung sarana prasarana kait kuliah cukup,positif
dukung fasilitas rasa langsung kuliah bagus jaring wifi ruang kelas nyaman,positif
sarana prasan pada kadang kendala jaring wifi lambat,negatif
mata kuliah,positif
asa kait dukung sarana prasarana komputer lab support pakai proses kuliah,negatif
puas sarana prasarana pada,positif
dukung sarana parasara sebnernya lumayan kurang contoh wifi ruang ajar terkadang kotor,negatif
sarana prasarana kuliah pada kuliah singkat,negatif
pada spidol gak kadang lampu mati ac mati panas,negatif
segi sarana prasana dukung,positif
dukung sarpras lcd proyektor baik lebih alami kendala wifi yg lot,negatif
kuliah pakai alat alat sarana prasarana media ajar proyektor bagus,positif
kurang kuliah laptop sarana tunjang stop kontak sedia kadang wifi mati lot,negatif
sarana prasarana sesuai visi misi uin walisongo semarang,positif
sarana prasarana wadah mahasiswa aktif kuliah,positif
dukung sarana prasarana kait kuliah,positif
saya sarana prasarana kuliah padah ajar nyaman tertib,positif
sarana prasarana kuliah mahasiswa nyaman semangat kuliah,positif
biasa sarana dukung beri materi sarana prasarana praktikum,positif
dukung sarana prasarana moga tingkat,positif
asa sarana prasarana dukung ajar mahasiswa,positif
asa kait dukung sarana prasarana kait kuliah kadang  kait sarana,positif
laptop sendiri koneksi wifi pada cepat wifi uin sangan bagus trouble jaring,negatif
sarana prasarana kuliah,positif
sarana prasarana bagus suka kait led proyektor kadang sendat colok laptop,negatif
dukung sarana prasana tingkat kadang lcd guna,negatif
baik lingkung ajar nyaman sarana prasarana,positif
mumpuni fasilitas kampus,positif
dukung sarana prasarana kuliah kurang contoh wifi kadang signalnya dukung,negatif
bagus alami kurang apa kuliah,positif
sarana prasarana kuliah pada nyaman,positif
sarana prasarana praktikum memadhai,negatif
dukung sarana prasarana kuliah cukup ada lab komputer batas ratus mahasiswa tambah matkul materi praktikum laboratorium komputer,negatif
ajar kelas sedia colok listrik laptop mahasiswa,negatif
normal aja sesuai kuliah sarana prasarana benar bantu mahasiswa,positif
sarana baik awat nya kurang temu kursi layak pakai sedia kelas,negatif
sarana kampus pada fakultas saintek lahan parkir perhati kamar mandi ecek aman bersih nya,positif
no 5 dalam kuliah dukung manfaat kuliah sistem pararel distribusi fasilitas ppt materi video ajar youtube dukung ajar kuliah,positif
dukung sarana prasarana baik ruang kelas laksana kuliah presentasi tugas,positif
sarana sedia kampus pada masalah kerepot tugas laptop,positif
sarana prasarana mahasiswa kadang risih suasana kelas kadang laci sampah kotor,negatif
dinas saran tugas  materi video ajar jam kosong buang sia,negatif
baik sarana prasarana dukung kuliah,positif
proses kuliah sarana prasarana,positif
senang wajar dukung sarana prasarana kuliah ini,positif
sarana prasarana dukung kuliah terkadang wifi lot koneksi,negatif
senang dukung yg motifasi,positif
puasa keluh parkir ganjal parkir atas capek jalan kelas jauh jalan siang mahasiswa cape kuliah,negatif
baik kampus sedia ruang ajar nyaman sera fasilitas,positif
dukung fasilitas ruang wifi tugas,positif
sarana prasarana pada kurang baik,positif
sarana prasarana pada kelas bayang mana kelas ada sedia air mati sebab nyaman,negatif
asa kait dukung sarana prasarana kait kuliah pada kuliah butuh proyektor presentasi materi laptop mrngerjakan tugas,positif
dukung sarana prasarana laboratorium sedia alat alat tetapi kurang,positif
senang karna sarana prasarana layak kuliah,positif
baguss mendukungg semangat percaya dukung,positif
sarana prasarana dukung mata kuliah bilang lengkap layak,positif
pada mensupport giat praktik,positif
,positif
pada,positif
,positif
sarana prasarana pada,positif
pada,positif
sarana prasarana kait kuliah cukup,positif
sarana laptop mumpuni,positif
sarana prasarana bilang dukung,positif
sarana prasarana karna praktikum gantung alat spt laptop dll,positif
baik,positif
sarana prasarana mahasiswa ajar,positif
sarana prasarana cukup,positif
sarana prasarana tunjang kuliah mamadai praktik,negatif
susah parkir lab komputer komputer android studio lag krena laptop dukung android studio,negatif
maklum prodi baru ruang kelas yg ungsi gedung fakultas,positif
device sedia laboratorium kadang lot,negatif
,negatif
senang dukung sarana prasarana kuliah nyaman,positif
saran tambah laboratorium komputer nya,negatif
bagus ruang nyaman sedia fasilitas komputer lengkap walau pakai laptop sendiri,positif
sarana prasarana realisasi fasilitas,positif
kurang terkadang praktek butuh koneksi cepat cepat internetnya pada,negatif
baik mata kuliah sedia sarana prasarana,positif
sarana prasarana nyaman,positif
bagus,positif
asa kait dukung sarana prasarana tekait kuliah senang gedung fasilitas nya bagus lab isdb sedia pc bagus,positif
asa kait dukung sarana prasarana kait kuliah pada,negatif
asa kait dukung sarana prasarana kait kuliah kembang program chat lanjut tugas selesai dosen tampil milik dosen,positif
sarana prasarana sedia wifi terkadang wifinya lancar lebih bagus,negatif
matkul sister pada konsentrasi hardware sk minim sarana fasilitas,positif
kurang kurang parkir motor akhir cuaca kota semarang panas kasihan mahasiswa berangkat kuliah jalan parkir monumen berlian samping soshum,negatif
jujur teman teman sepakat kelas daya arus listrik tambah roll kabel pakai kelas pengap sinyal internet baik wifi uin jangkau,negatif
alam notabene santri jadi biasa sarana prasana,negatif
kelas sk kelas ga meja kursi masak leseh terus,negatif
sarana prasarana nya kurang lengkap,negatif
asa senang dukung sarana prasarana,positif
fasilitas contoh pc,negatif
padah dukung giat kuliah sihingga tuju ajar capai maksimal,positif
sarana prasarana pada ruang kelas yg milik fasilitas lengkap tunjang proses ajar efektif,positif
asa kait dukung sarana prasarana kait kuliah pada,positif
wifi ruang kali kadang lot harap wifi lancar,negatif
sarana prasarana kuliah butuh tingkat,positif
tambah alat praktikum ada ajar efektif nanggung,negatif
santai terang ajar guma bahasa mudah paham mahasiswa dasar mahasiswa paham bahasa yg,positif
ada alat banyak,negatif
saran mahasiswa paham,negatif
kuliah baik tambahanya absensi e learning curang,negatif
